flow ID,source IP,destination IP,source port,destination port,date,duration
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.5,39574,20002, 14/05/2020  23:31:50 ,44524830
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,54308,20002, 15/05/2020  01:03:49 ,44021450
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,54308, 15/05/2020  00:46:31 ,44007175
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:56:28 ,44011922
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  01:34:08 ,44019837
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.10,54308,20002, 15/05/2020  01:30:24 ,44011455
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.3,54308,20002, 15/05/2020  00:31:46 ,44024884
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:13:57 ,44015632
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:40:53 ,44026427
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:57:15 ,44030092
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,45060,20002, 15/05/2020  00:02:05 ,44015232
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  02:35:16 ,44021897
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 14/05/2020  23:34:46 ,44014469
192.168.1.11-192.168.1.7-41065-20002,192.168.1.6,192.168.1.7,41065,54308, 15/05/2020  00:09:29 ,44012607
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  01:11:44 ,44019438
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:59:37 ,44018966
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.3,34422,20002, 15/05/2020  01:59:34 ,44018626
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  01:37:43 ,44020897
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.4,39574,20002, 15/05/2020  02:11:29 ,44015241
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:09:25 ,44024119
192.168.1.11-192.168.1.5-39574-20002,192.168.1.6,192.168.1.5,39574,20002, 15/05/2020  02:06:56 ,44015727
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  02:13:31 ,44016973
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.5,54308,20002, 15/05/2020  01:22:03 ,44017299
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  00:54:06 ,44024155
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:00:31 ,44017143
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  01:55:07 ,44016998
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:31:05 ,44005315
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:44:02 ,44024522
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:58:06 ,44027491
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:33:12 ,44020037
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,34422,20002, 15/05/2020  02:58:46 ,44020533
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,39574,20002, 15/05/2020  02:07:14 ,44023451
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,39169,20002, 15/05/2020  01:05:05 ,44021288
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 14/05/2020  23:35:15 ,44017618
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 14/05/2020  23:52:54 ,44022206
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 14/05/2020  23:45:34 ,44797705
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.7,39574,20002, 15/05/2020  01:41:30 ,44085399
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 14/05/2020  23:30:01 ,44015639
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:41:37 ,44083243
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.8,41065,20002, 15/05/2020  01:15:43 ,44017867
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:04:31 ,44014354
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  00:25:15 ,44024646
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.3,36479,20002, 15/05/2020  01:41:37 ,44006484
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,36479,20002, 15/05/2020  00:42:43 ,44017782
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:48:29 ,44019214
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:39:16 ,44011412
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:02:21 ,44019285
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:57:10 ,44017936
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:32:42 ,44517156
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:43:52 ,44020406
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  01:55:17 ,44020729
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  01:53:01 ,44780662
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 14/05/2020  23:30:33 ,44011987
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.7,39169,20002, 15/05/2020  00:42:37 ,44016806
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,39169,20002, 15/05/2020  01:44:06 ,44019918
192.168.1.6-192.168.1.11-20002-54308,192.168.1.6,192.168.1.11,20002,54308, 15/05/2020  02:07:31 ,43995358
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 14/05/2020  23:38:56 ,44020008
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:38:46 ,44020920
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:48:09 ,44026955
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 14/05/2020  23:51:34 ,44024424
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:39:43 ,44016157
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:56:18 ,44023737
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,45060,20002, 15/05/2020  01:07:57 ,44020181
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  02:59:39 ,44014952
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 14/05/2020  23:56:19 ,44021629
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  02:56:18 ,44020952
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  02:05:50 ,44025846
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.7,36479,20002, 15/05/2020  02:32:00 ,44813546
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:04:20 ,44027595
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:12:05 ,44043299
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 14/05/2020  23:58:57 ,44018371
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:58:37 ,44015063
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.6,39169,20002, 15/05/2020  01:08:50 ,44018995
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:17:51 ,44020021
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.5,54308,20002, 15/05/2020  02:19:43 ,44706919
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:01:00 ,44032411
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:16:47 ,44766610
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.5,39169,20002, 14/05/2020  23:49:57 ,44018563
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.5,39169,20002, 15/05/2020  00:27:18 ,44663855
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 14/05/2020  23:54:04 ,44015726
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:14:19 ,44014184
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:57:39 ,44025548
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  00:40:30 ,44015964
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.8,54308,20002, 14/05/2020  23:50:00 ,44090824
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.5,36479,20002, 15/05/2020  02:48:59 ,44016675
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,36479,20002, 15/05/2020  02:54:46 ,44024036
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:42:00 ,44012776
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  00:44:28 ,44120169
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:17:39 ,44013620
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:30:15 ,44017244
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  02:31:45 ,44016190
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  02:39:45 ,44014575
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  01:08:57 ,44033539
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  02:44:12 ,44014223
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  00:44:27 ,44698773
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  00:31:50 ,44024415
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:13:27 ,44020917
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:26:08 ,44020844
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.9,36479,20002, 15/05/2020  02:11:35 ,44053448
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 14/05/2020  23:38:11 ,44006816
192.168.1.11-192.168.1.8-39169-20002,192.168.1.6,192.168.1.8,39169,20002, 15/05/2020  02:44:00 ,44013205
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:44:57 ,44019246
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:58:25 ,44014203
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.5,41065,20002, 15/05/2020  01:41:45 ,44020708
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:03:33 ,44011579
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.10,36479,20002, 14/05/2020  23:34:13 ,44008863
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 14/05/2020  23:53:28 ,44018951
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:33:01 ,44016170
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:47:08 ,44009940
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:24:11 ,44026378
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.8,45060,20002, 14/05/2020  23:52:28 ,44015683
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.7,41065,20002, 14/05/2020  23:57:49 ,44012445
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.5,36479,20002, 14/05/2020  23:55:02 ,44736253
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:41:06 ,44024444
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 14/05/2020  23:54:45 ,44023525
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  00:36:28 ,44023594
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  03:13:11 ,44026710
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.10,33783,20002, 15/05/2020  00:06:48 ,44015724
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,33783,20002, 15/05/2020  01:41:20 ,44648855
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,34422,20002, 15/05/2020  01:30:45 ,44025083
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  01:59:40 ,44016442
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:49:04 ,44018389
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:23:11 ,44078629
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,41065,20002, 14/05/2020  23:55:19 ,44019858
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.10,41065,20002, 15/05/2020  02:21:37 ,44908626
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  00:40:36 ,44017448
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.4,54308,20002, 15/05/2020  00:24:15 ,44015180
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:19:09 ,44006683
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 14/05/2020  23:42:44 ,44024471
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 14/05/2020  23:48:41 ,44027772
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:15:33 ,44614112
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 14/05/2020  23:50:51 ,44007538
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:25:37 ,44014777
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:06:52 ,44028552
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:56:09 ,44017340
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  03:06:16 ,44009672
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  01:36:01 ,44018955
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:21:43 ,44801348
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:09:55 ,44021633
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 14/05/2020  23:49:06 ,44016455
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 14/05/2020  23:51:23 ,44022370
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:00:40 ,44687951
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  00:23:28 ,44012463
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  01:23:31 ,44012333
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  00:31:26 ,44029640
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:17:57 ,44022188
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  01:24:47 ,44013669
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.3,41065,20002, 15/05/2020  01:01:06 ,44018928
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.8,54308,20002, 15/05/2020  00:41:26 ,44078499
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  02:03:55 ,44014868
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 14/05/2020  23:38:42 ,44027488
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  02:50:16 ,44018387
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  02:08:00 ,44982853
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.5,39169,20002, 15/05/2020  01:12:40 ,44233145
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  00:53:07 ,44564223
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 14/05/2020  23:51:09 ,44027110
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.10,34422,20002, 15/05/2020  00:26:03 ,44018690
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:48:06 ,44017233
192.168.1.6-192.168.1.11-20002-54308,192.168.1.6,192.168.1.11,20002,54308, 15/05/2020  02:01:21 ,43995274
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  02:58:36 ,44020117
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:59:45 ,44516504
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:23:33 ,44020534
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,33783,20002, 14/05/2020  23:42:36 ,44015209
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.5,39169,20002, 15/05/2020  01:43:04 ,44015039
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.4,41065,20002, 15/05/2020  00:08:33 ,44028483
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:04:25 ,44017250
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  01:02:07 ,44017738
192.168.1.6-192.168.1.11-20002-54308,192.168.1.6,192.168.1.11,20002,54308, 15/05/2020  02:11:48 ,43996152
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.10,39574,20002, 15/05/2020  01:18:36 ,44022418
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  00:01:11 ,44016389
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.5,41065,20002, 15/05/2020  00:22:13 ,44013757
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 14/05/2020  23:30:01 ,44020270
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 14/05/2020  23:42:07 ,44015359
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 14/05/2020  23:44:40 ,44021004
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.11,54308,20002, 15/05/2020  00:41:15 ,44022662
192.168.1.6-192.168.1.11-20002-54308,192.168.1.11,192.168.1.5,39169,20002, 15/05/2020  00:16:40 ,44741263
192.168.1.6-192.168.1.11-20002-54308,192.168.1.6,192.168.1.11,20002,54308, 15/05/2020  02:10:56 ,43995723
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.5,41065,20002, 15/05/2020  00:44:58 ,44017247
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:23:51 ,44057349
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 15/05/2020  01:33:17 ,44017763
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  01:48:47 ,44018891
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 14/05/2020  23:34:48 ,44023395
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 14/05/2020  23:39:58 ,44021993
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.5,41065,20002, 15/05/2020  01:15:31 ,44016726
192.168.1.6-192.168.1.11-20002-54308,192.168.1.11,192.168.1.7,39574,20002, 15/05/2020  00:02:20 ,44020331
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  01:35:37 ,44019507
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.7,39574,20002, 15/05/2020  02:00:14 ,44017037
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  00:26:03 ,44016339
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  02:22:59 ,44018269
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  00:13:17 ,44013283
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 14/05/2020  23:53:48 ,44020295
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  02:26:18 ,44020517
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  02:49:49 ,44057305
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:12:51 ,44024400
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.11,54308,20002, 15/05/2020  01:26:55 ,44023397
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  02:45:10 ,44018067
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:53:57 ,44656056
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:20:03 ,44013225
